Time,Channel A,Channel B
(ms),(V),(V)

0.00990281,1.34273500,0.08612204
0.00991881,1.29075400,0.08612204
0.00993481,1.24138800,0.08612204
0.00995081,1.19463600,0.08612204
0.00996681,1.15019100,0.08612204
0.00998281,1.10820600,0.08612204
0.00999881,1.06852900,0.08612204
0.01001481,1.03085000,0.08612204
0.01003081,0.99532480,0.08612204
0.01004681,0.96164490,0.08612204
0.01006281,0.92965670,0.08612204
0.01007881,0.89920650,0.08612204
0.01009481,0.86998650,0.08612204
0.01011081,0.84184300,0.08612204
0.01012681,0.81477610,0.08612204
0.01014281,0.78832430,0.08612204
0.01015881,0.76233390,0.08612204
0.01017481,0.73649730,0.08612204
0.01019081,0.71066070,0.08612204
0.01020681,0.68467030,0.08612204
0.01022281,0.65806470,0.08612204
0.01023881,0.63069020,0.08612204
0.01025481,0.60223920,0.00000000
0.01027081,0.57271160,0.08612204
0.01028681,0.54164620,0.08612204
0.01030281,0.50888900,0.08612204
0.01031881,0.47413260,0.08612204
0.01033481,0.43737700,0.08612204
0.01035081,0.39846830,0.08612204
0.01036681,0.35694510,0.08612204
0.01038281,0.31280760,0.08612204
0.01039881,0.26605560,0.08612204
0.01041481,0.21638160,0.08612204
0.01043081,0.16363190,0.08612204
0.01044681,0.10780630,0.08612204
0.01046281,0.04890502,0.08612204
0.01047881,-0.01322589,0.08612204
0.01049481,-0.07843257,0.08612204
0.01051081,-0.14686890,0.08612204
0.01052681,-0.21853470,0.08612204
0.01054281,-0.29327630,0.08612204
0.01055881,-0.37109380,0.08612204
0.01057481,-0.45229450,0.08612204
0.01059081,-0.53641730,0.08612204
0.01060681,-0.62284700,0.08612204
0.01062281,-0.70973800,0.08612204
0.01063881,-0.79770550,0.08612204
0.01065481,-0.88705710,0.08612204
0.01067081,-0.97717770,0.08612204
0.01068681,-1.06560700,0.08612204
0.01070281,-1.15265100,0.08612204
0.01071881,-1.23785100,0.08612204
0.01073481,-1.32151200,0.08612204
0.01075081,-1.40394300,0.08612204
0.01076681,-1.48529800,0.08612204
0.01078281,-1.56496100,0.08612204
0.01079881,-1.64231700,0.08612204
0.01081481,-1.71675100,0.08612204
0.01083081,-1.78764800,0.08612204
0.01084681,-1.85454600,0.08612204
0.01086281,-1.91698400,0.08612204
0.01087881,-1.97450200,0.08612204
0.01089481,-2.02632900,0.08612204
0.01091081,-2.07231200,0.08612204
0.01092681,-2.11183600,0.08612204
0.01094281,-2.14459300,0.08612204
0.01095881,-2.16996800,0.08612204
0.01097481,-2.18811500,0.08612204
0.01099081,-2.19872700,0.08612204
0.01100681,-2.20211000,0.08612204
0.01102281,-2.20041800,0.08612204
0.01103881,-2.19242100,0.08612204
0.01105481,-2.17781100,0.08612204
0.01107081,-2.15597300,0.08612204
0.01108681,-2.12644600,0.08612204
0.01110281,-2.08922900,0.08612204
0.01111881,-2.04447600,0.08612204
0.01113481,-1.99218800,0.08612204
0.01115081,-1.93297900,0.08612204
0.01116681,-1.86684900,0.08612204
0.01118281,-1.79410700,0.08612204
0.01119881,-1.71505900,0.08612204
0.01121481,-1.63032100,0.08612204
0.01123081,-1.54004700,0.08612204
0.01124681,-1.44485100,0.08612204
0.01126281,-1.34488800,0.08612204
0.01127881,-1.24077300,0.08612204
0.01129481,-1.13312000,0.08612204
0.01131081,-1.02193000,0.08612204
0.01132681,-0.90797250,0.08612204
0.01134281,-0.79170770,0.08612204
0.01135881,-0.67344370,0.08612204
0.01137481,-0.55318030,0.08612204
0.01139081,-0.42999510,0.08612204
0.01140681,-0.30496430,0.08612204
0.01142281,-0.17839570,0.08612204
0.01143881,-0.05075049,0.08612204
0.01145481,0.07766363,0.08612204
0.01147081,0.20577020,0.08612204
0.01148681,0.33280020,0.08612204
0.01150281,0.45813850,0.08612204
0.01151881,0.58193900,0.08612204
0.01153481,0.70358630,0.08612204
0.01155081,0.82338830,0.08612204
0.01156681,0.94072960,0.08612204
0.01158281,1.05545600,0.08612204
0.01159881,1.16772300,0.08612204
0.01161481,1.27706700,0.08612204
0.01163081,1.38364300,0.08612204
0.01164681,1.48698900,0.08612204
0.01166281,1.58726000,0.08612204
0.01167881,1.68445500,0.08612204
0.01169481,1.77811300,0.08612204
0.01171081,1.86854100,0.08612204
0.01172681,1.95558600,0.08612204
0.01174281,2.03940100,0.08612204
0.01175881,2.11967900,0.08612204
